"","Geneid","logFC","logCPM","F","PValue","FDR"
"LOC117691736","LOC117691736",-10.2769829187466,-0.86023491690915,44.7289839542767,5.30587265703902e-07,0.0151254511834211
"LOC105325942","LOC105325942",-2.22508166273908,4.2592196168476,38.8578689107327,1.62756014430023e-06,0.0231984285167833
"LOC105339592","LOC105339592",8.59296823418023,1.65660850332048,34.5029966078043,4.70695023483975e-06,0.044727010114859
